Date,CPI
2011-07,42021584.26
2011-08,42992282.86
2011-09,43344819.58
2011-10,43934309.12
2011-11,44725126.69
2011-12,45042675.09
2012-01,44727376.36
2012-02,44611085.18
2012-03,45025968.27
2012-04,45863451.28
2012-05,45800528.87
2012-06,45365423.84
2012-07,44911769.6
2012-08,45414781.42
2012-09,46195915.66
2012-10,46625537.68
2012-11,46662838.11
2012-12,46658171.82
2013-01,47124753.54
2013-02,46870279.87
2013-03,46964020.43
2013-04,47358518.21
2013-05,47495857.91
2013-06,48194047.02
2013-07,48150672.38
2013-08,48603288.7
2013-09,49594795.79
2013-10,50333758.24
2013-11,50519993.15
2013-12,51419249.03
2014-01,52493911.33
2014-02,53696021.9
2014-03,54002089.23
2014-04,54185696.33
2014-05,53763047.9
2014-06,53929713.35
2014-07,54064537.63
2014-08,54383518.4
2014-09,54416148.51
2014-10,55368431.11
2014-11,54991925.78
2014-12,54749961.31
2015-01,54268161.65
2015-02,53573529.18
2015-03,54521780.65
2015-04,55345059.53
2015-05,56241649.5
2015-06,56489112.76
2015-07,55788647.76
2015-08,56234956.94
2015-09,57910758.66
2015-10,58791002.19
2015-11,58238366.77
2015-12,59001289.37
2016-01,59278595.43
2016-02,59177821.82
2016-03,59053548.39
2016-04,59638178.52
2016-05,60091428.68
2016-06,60367849.25
2016-07,60899086.33
2016-08,61355829.47
2016-09,61723964.45
2016-10,62446134.83
2016-11,63339114.56
2016-12,65011267.19
2017-01,66675555.63
2017-02,67609013.4
2017-03,68007906.58
2017-04,69266052.86
2017-05,69536190.46
2017-06,70009036.56
2017-07,71059172.11
2017-08,71357620.63
2017-09,71721544.49
2017-10,72381382.7
2017-11,73329578.82
2017-12,74568848.7
2018-01,74404797.23
2018-02,75602714.47
2018-03,76260458.08
2018-04,78357620.68
2018-05,81217673.83
2018-06,83605473.44
2018-07,85494957.14
2018-08,92693632.54
2018-09,98440637.75
2018-10,99995999.83
2018-11,98396063.83
2018-12,96929962.48
2019-01,97443691.28
2019-02,97297525.75
2019-03,98591582.84
2019-04,102485950.4
2019-05,102967634.3
2019-06,104275323.3
2019-07,105391069.2
2019-08,105791555.3
2019-09,107780436.6
2019-10,107327758.7
2019-11,106823318.3
2019-12,108244068.4
2020-01,110084217.5
2020-02,110766739.7
2020-03,111287343.4
2020-04,111031382.5
2020-05,111864117.8
2020-06,112993945.4
2020-07,115231225.6
2020-08,117858497.5
2020-09,119838520.3
2020-10,121084840.9
2020-11,124002985.5
2020-12,124511397.8
2021-01,125109052.5
2021-02,125084030.7
2021-03,126822698.7
2021-04,129283059.1
2021-05,131377444.6
2021-06,135502696.4
2021-07,138530734.6
2021-08,142047738.5
2021-09,145000170.6
2021-10,149683676.1
2021-11,157946215.1
2021-12,181890861.3
2022-01,191861414.4
2022-02,205506570.7
2022-03,232330522
2022-04,244104118.8
2022-05,260293905.4
2022-06,285128521.7
2022-07,299982024.5
2022-08,309910551.8
2022-09,319468706.4
2022-10,330382387.1
2022-11,338573192.2
2022-12,353792003.1
2023-01,363059656.8
2023-02,379940045.1
2023-03,388638695.7
2023-04,409229029.9
2023-05,424041258.3
2023-06,472557930.4
2023-07,519349383.3
2023-08,561648314.2
2023-09,580000176.8
2023-10,591136118.2
2023-11,617291415.1
2023-12,650872434.8
2024-01,675842503.6
2024-02,706877192
2024-03,755708177.3
2024-04,800449103
2024-05,828453740.2
2024-06,865563739.8
2024-07,895944190.9
2024-08,925333028.4
2024-09,948697241.4
2024-10,979233797.2
2024-11,986871820.8
2024-12,997727410.8
2025-01,1017881504
2025-02,1039867745
2025-03,1084358758
2025-04,1128356356
2025-05,1158934813
2025-06,1175391687
2025-07,1212651603
